id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
COUNTRY LANE PRIMARY ES,TULSA,BROKEN ARROW,Public,268,0.966,0.045
COVINGTON-DOUGLAS ES,GARFIELD,COVINGTON-DOUGLAS,Public,15,0.933,0.000
CREEK ES,MUSKOGEE,MUSKOGEE,Public,63,0.889,0.016
CREEKWOOD ES,TULSA,BROKEN ARROW,Public,92,0.978,0.000
CROSS TIMBERS ES,OKLAHOMA,EDMOND,Public,124,0.855,0.040
Crossings Christian School,OKLAHOMA,ACSI,Private,79,0.861,0.051
CROWDER ES,PITTSBURG,CROWDER,Public,26,1.000,0.000
CRUTCHO PUBLIC SCHOOL,OKLAHOMA,CRUTCHO,Public,32,0.781,0.000
CUSHING LOWER ES,PAYNE,CUSHING,Public,154,0.364,0.019
CYRIL ES,CADDO,CYRIL,Public,23,0.826,0.000
DAHLONEGAH PUBLIC SCHOOL,ADAIR,DAHLONEGAH,Public,15,0.933,0.000
DALE ES,POTTAWATOMIE,DALE,Public,55,0.927,0.000
DARLINGTON PUBLIC SCHOOL,CANADIAN,DARLINGTON,Public,30,0.867,0.000
DARNABY ES,TULSA,UNION,Public,89,0.966,0.011
DAVENPORT ES,LINCOLN,DAVENPORT,Public,31,0.968,0.000
DAVIS ES,MURRAY,DAVIS,Public,80,0.888,0.013
DEBORAH BROWN COMMUNITY SCHOOL,TULSA,N/A,Charter,80,0.513,0.000
DEER CREEK ES,OKLAHOMA,DEER CREEK,Public,85,0.859,0.035
DEER CREEK-LAMONT ES,GRANT,DEER CREEK-LAMONT,Public,13,0.846,0.000
DEL CITY ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,96,0.917,0.000
DENNIS ES,OKLAHOMA,PUTNAM CITY,Public,68,0.868,0.059
DEPEW ES,CREEK,DEPEW,Public,22,0.955,0.045
DEWAR ES,OKMULGEE,DEWAR,Public,34,0.824,0.029
DEWEY ES,WASHINGTON,DEWEY,Public,78,0.974,0.026
DIBBLE ES,MCCLAIN,DIBBLE,Public,44,0.909,0.023
DICKSON ES,CARTER,DICKSON,Public,97,0.979,0.010
DIERKS ES,MCCURTAIN,BROKEN BOW,Public,96,0.938,0.000
DIMENSIONS ACADEMY,CLEVELAND,NORMAN,Public,*,*,*
DISNEY ES,TULSA,TULSA,Public,83,0.904,0.000
DOVE SCH OF DISCOVERY ES TULSA,TULSA,N/A,Charter,47,0.851,0.021
DOVE SCIENCE ACADEMY ES,OKLAHOMA,N/A,Charter,49,0.980,0.000
DOVER ES,KINGFISHER,DOVER,Public,*,*,*
DUAL LANGUAGE ACADEMY,TULSA,TULSA,Public,49,0.755,0.061
DUSTIN ES,OKFUSKEE,GRAHAM-DUSTIN,Public,16,0.938,0.125
E. M. TROUT ES,KAY,PONCA CITY,Public,40,0.850,0.025
EAGLETOWN ES,MCCURTAIN,EAGLETOWN,Public,10,0.900,0.000
EARL HARRIS ES,OKLAHOMA,BETHANY,Public,102,0.902,0.059
EARLSBORO ES,POTTAWATOMIE,EARLSBORO,Public,15,0.867,0.067
EARLYWINE ES,CLEVELAND,MOORE,Public,57,0.614,0.000
EASTLAKE ES,CLEVELAND,MOORE,Public,58,0.828,0.017
ECDC BUNCHE,TULSA,TULSA,Public,76,0.776,0.013
EDGEMERE ES,OKLAHOMA,OKLAHOMA CITY,Public,15,0.600,0.000
EDISON ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,78,0.821,0.000
EDISON ES (CREEK COUNTY),CREEK,BRISTOW,Public,100,0.950,0.090
EDISON ES (GREER COUNTY),GREER,MANGUM,Public,54,0.889,0.019
EDWARDS ES,OKLAHOMA,OKLAHOMA CITY,Public,41,0.902,0.000
EISENHOWER ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,90,0.944,0.022
EISENHOWER ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,56,0.946,0.000
EISENHOWER ES (GARFIELD COUNTY),GARFIELD,ENID,Public,23,0.957,0.000
EISENHOWER INTERNATIONAL ES,TULSA,TULSA,Public,115,0.913,0.139
ELGIN ES,COMANCHE,ELGIN,Public,138,0.935,0.051
ELIOT ES,TULSA,TULSA,Public,46,0.848,0.087
ELK CITY ES,BECKHAM,ELK CITY,Public,144,0.958,0.000
ELLEN OCHOA ES,TULSA,UNION,Public,81,0.988,0.000
ELLINGTON ES,WAGONER,WAGONER,Public,187,0.866,0.005
ELMORE CITY-PERNELL ES,GARVIN,ELMORE CITY-PERNELL,Public,25,1.000,0.000
EMERSON ES (COAL COUNTY),COAL,COALGATE,Public,43,0.953,0.000
EMERSON ES (STEPHENS COUNTY),STEPHENS,DUNCAN,Public,72,0.986,0.014
EMERSON ES (TULSA COUNTY),TULSA,TULSA,Public,23,0.870,0.000
EMPIRE ES,STEPHENS,EMPIRE,Public,35,0.943,0.029
EPIC BLENDED CHARTER OKC TULSA ES,OKLAHOMA,N/A,Charter,562,0.660,0.206
EPPERLY HEIGHTS ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,94,0.957,0.011
ERICK ES,BECKHAM,ERICK,Public,27,0.815,0.037
ETHEL REED ES,HUGHES,HOLDENVILLE,Public,94,0.968,0.043
EUFAULA ES,MCINTOSH,EUFAULA,Public,96,0.938,0.063
EUGENE FIELD ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,67,0.866,0.030
EUGENE FIELD ES (TULSA COUNTY),TULSA,TULSA,Public,54,0.907,0.000
Extended Educational Services,OKLAHOMA,Oklahoma City Public Schools,Public,*,*,*
F.D. MOON ES,OKLAHOMA,OKLAHOMA CITY,Public,58,0.931,0.017
FAIRLAND ES,OTTAWA,FAIRLAND,Public,62,0.581,0.065
FAIRVIEW ES,CLEVELAND,MOORE,Public,99,0.899,0.030
Family of Faith Christian School,POTTAWATOMIE,"ICAA, AdvancED",Private,*,*,*
FANSHAWE PUBLIC SCHOOL,LE FLORE,FANSHAWE,Public,11,1.000,0.000
FARGO ES,ELLIS,FARGO,Public,16,0.813,0.000
FELT ES,CIMARRON,FELT,Public,11,0.818,0.000
FILLMORE ES,OKLAHOMA,OKLAHOMA CITY,Public,108,0.926,0.009
First Lutheran School,KAY,NLSA,Private,20,0.800,0.050
FISHER ES,CLEVELAND,MOORE,Public,46,0.891,0.000
FLETCHER ES,COMANCHE,FLETCHER,Public,39,1.000,0.000
FLOWER MOUND PUBLIC SCHOOL,COMANCHE,FLOWER MOUND,Public,53,0.604,0.000
FOREST GROVE PUBLIC SCHOOL,MCCURTAIN,FOREST GROVE,Public,23,1.000,0.000
FORGAN ES,BEAVER,FORGAN,Public,*,*,*
FORT COBB-BROXTON LOWER ES,CADDO,FORT COBB-BROXTON,Public,16,0.938,0.000
FORT GIBSON EARLY LRNING CTR,MUSKOGEE,FORT GIBSON,Public,137,0.964,0.029
FORT SUPPLY ES,WOODWARD,FORT SUPPLY,Public,*,*,*
FORT TOWSON ES,CHOCTAW,FORT TOWSON,Public,22,0.909,0.000
FOX ES,CARTER,FOX,Public,27,0.963,0.037
FOYIL ES,ROGERS,FOYIL,Public,34,1.000,0.000
FRANCIS ES,PONTOTOC,BYNG,Public,41,0.927,0.073
FREEDOM ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,186,0.882,0.022
FREEDOM ES (CREEK COUNTY),CREEK,SAPULPA,Public,63,0.889,0.000
FREEDOM ES (WOODS COUNTY),WOODS,FREEDOM,Public,*,*,*
